,role,player,team,games,fm,cost
17,p,Szczesny,JUV,2,"5,5",32.5
23,p,Consigli,SAS,5,"5,0",11.5
24,p,Terracciano,FIO,2,"5,0",4.0
10,d,Biraghi,FIO,3,"6,0",18.5
15,d,Singo,TOR,3,"5,67",16.5
22,d,Karsdorp,ROM,4,"5,38",10.0
13,d,Ferrari G.,SAS,5,"5,7",7.5
18,d,Marusic,LAZ,5,"5,5",6.5
21,d,Augello,SAM,5,"5,4",6.5
7,d,Maehle,ATA,3,"6,33",5.0
11,d,Nuytinck,UDI,4,"6,0",4.0
1,c,Zielinski,NAP,5,"7,7",43.5
0,c,Koopmeiners,ATA,5,"8,9",25.0
12,c,Mkhitaryan,INT,2,"6,0",19.0
20,c,Bajrami,EMP,5,"5,5",19.0
8,c,Candreva,SAL,5,"6,3",17.5
2,c,Ricci S.,TOR,3,"7,0",9.0
9,c,Coulibaly L.,SAL,4,"6,25",7.0
4,c,Lovric,UDI,5,"6,9",6.5
6,a,Pinamonti,SAS,5,"6,5",60.0
3,a,Dzeko,INT,5,"6,9",35.0
14,a,Muriel,ATA,3,"5,67",35.0
5,a,Caputo,SAM,5,"6,6",34.5
16,a,Belotti,ROM,1,"5,5",20.0
19,a,Barrow,BOL,3,"5,5",11.5
